# VIPERS Database
# File    : VIPERS_W1_SPECTRO_PDR1.txt.gz
# Date    : 2013-10-15 10:43
# Table   : W1_SPECTRO_PDR1
# Columns : 14
# Rows    : 30523
# SQL     : SELECT W1_SPECTRO_PDR1.id_IAU, W1_SPECTRO_PDR1.num, W1_SPEC
#           TRO_PDR1.alpha, W1_SPECTRO_PDR1.delta, W1_SPECTRO_PDR1.selm
#           ag, W1_SPECTRO_PDR1.errselmag, W1_SPECTRO_PDR1.pointing, W1
#           _SPECTRO_PDR1.quadrant, W1_SPECTRO_PDR1.zflg, W1_SPECTRO_PD
#           R1.zspec, W1_SPECTRO_PDR1.epoch, W1_SPECTRO_PDR1.photoMask,
#            W1_SPECTRO_PDR1.tsr, W1_SPECTRO_PDR1.ssr FROM W1_SPECTRO_P
#           DR1
# id_IAU	num	alpha	delta	selmag	errselmag	pointing	quadrant	zflg	zspec	epoch	photoMask	tsr	ssr
# CHAR	VARCHAR	DOUBLE	DOUBLE	FLOAT	FLOAT	VARCHAR	INT	FLOAT	FLOAT	INT	CHAR	FLOAT	FLOAT
# 		deg	deg	mag	mag								
VIPERS 122104322	122104322	33.267762	-4.193496	19.8633	0.0060	W1P044	2	  2.4	0.5533	1	1	0.4628	0.952
VIPERS 122082125	122082125	33.270663	-4.296538	21.0051	0.0171	W1P044	2	  0.0	9.9999	1	1	0.4410	-1.000
VIPERS 122106732	122106732	33.270953	-4.184699	22.3958	0.0412	W1P044	2	  1.5	0.6981	1	1	0.4463	-1.000
VIPERS 122094058	122094058	33.272534	-4.244339	22.3183	0.0267	W1P044	2	  4.2	0.4575	1	1	0.4463	0.608
VIPERS 122103223	122103223	33.274352	-4.201221	21.8073	0.0171	W1P044	2	  1.5	0.6739	1	1	0.4508	-1.000
VIPERS 122085198	122085198	33.275578	-4.283250	21.9727	0.0234	W1P044	2	  0.0	9.9999	1	1	0.4508	-1.000
VIPERS 122107947	122107947	33.276221	-4.178075	20.7893	0.0086	W1P044	2	  4.4	0.5872	1	1	0.4479	0.949
VIPERS 122084185	122084185	33.277174	-4.287737	21.9409	0.0188	W1P044	2	  2.5	0.6442	1	1	0.4508	0.856
VIPERS 122100948	122100948	33.277445	-4.211913	21.9382	0.0184	W1P044	2	  0.0	9.9999	1	1	0.4508	-1.000
VIPERS 122091101	122091101	33.278618	-4.257551	20.8702	0.0116	W1P044	2	  1.4	0.8361	1	1	0.4479	-1.000
